PE Type,Config,PE shape,Instructions,kernel id
ARRAY,Kurtosis,"8,1",60,4
ARRAY,AEP_det,"8,3",80,7
ARRAY,AEP_bf,"1,1",80,8
ARRAY,detect_thres1,"0,0",0,-1
ARRAY,CPDet,"9,1;4,3",132,5
ARRAY,ChirpDet,"10,1;8,2",70,6
ARRAY,OFDMEst,"7,2",60,9
ARRAY,CREst,"1,1",40,10
ARRAY,energy_detect,"8,1;4,2;4,1;2,1;1,1",45,14
ARRAY,detect_thres,"0,0",0,-1
ARRAY,energy_detect1,"2,1",100,1
ARRAY,KTInstAmp,"3,1",119,12
ARRAY,FSK_Est,"6,2",118,13
ARRAY,FM_Est,"6,2",106,15
ARRAY,PSK_Est,"6,2",48,16
ARRAY,Cumulant42,"2,1",135,17
ARRAY,Cumulant63,"5,1",281,18
ARRAY,FSK_Det,"8,1",100,19
ARRAY,BPSK_Det,"8,1",100,20
ARRAY,BPSK_Est,"6,2",24,21
ARRAY,MaxPSDDet,"9,1",153,22
ARRAY,InstAmp,"2,1",67,23
ARRAY,QAM_Est,"6,2",100,24
ARRAY,SpecCentroid,"8,1",67,25
ARRAY,PSK_Det,"8,1",100,26
ARRAY,Cumulant40,"2,1",90,27
ARRAY,DOA,"8,2",100,28
ARRAY,ED8_atn,"1,8",50,29
ARRAY,PSK_Est_cyclo,"8,4",100,30
ARRAY,OFDM_Est_cyclo,"8,4",100,31
ARRAY,QAM_Est_cyclo,"8,4",100,32
ARRAY,BPSK_Est_cyclo,"8,4",100,33
ARRAY,Chirp_Est_cyclo,"8,4",100,34
ARRAY,FSK_Est_cyclo,"8,4",100,35
