IMEM_Size,Number_of_PEs,Number of Arrays,Array_Area,IMEM_Area,Cluster_Count,Uniform Array Size,Array Sizes
2560,2272,4,141.808136192,5468950757.376,42,"(32, 18)","[(32, 17), (32, 18), (32, 18), (32, 18)]"
3072,2272,4,144.988936192,6836188446.72,41,"(32, 18)","[(32, 17), (32, 18), (32, 18), (32, 18)]"
3584,2240,4,146.083336192,8087884922.880001,38,"(32, 18)","[(32, 16), (32, 18), (32, 18), (32, 18)]"
4096,2240,4,149.21933619200001,9435865743.36,38,"(32, 18)","[(32, 16), (32, 18), (32, 18), (32, 18)]"
4608,2208,4,150.179336192,10629791612.928,37,"(32, 17)","[(32, 16), (32, 18), (32, 18), (32, 17)]"
5120,2272,4,157.712136192,12305139204.095999,37,"(32, 19)","[(32, 16), (32, 18), (32, 18), (32, 19)]"
5632,2304,4,163.158536192,13864945582.080002,37,"(32, 19)","[(32, 17), (32, 18), (32, 18), (32, 19)]"
6144,2240,4,161.763336192,14827789025.28,35,"(32, 17)","[(32, 17), (32, 18), (32, 18), (32, 17)]"
6656,2048,4,150.76813619200001,14789275287.552002,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
7168,2048,4,153.635336192,16021714894.848001,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
7680,2048,4,156.502536192,17254154502.144,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
8192,2048,4,159.369736192,18486594109.44,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
8704,2048,4,162.236936192,19719033716.736,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
9216,2048,4,165.104136192,20951473324.032,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
9728,2048,4,167.971336192,22183912931.328,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
10240,2048,4,170.838536192,23416352538.624,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
10752,2048,4,173.705736192,24648792145.920002,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
11264,2048,4,176.57293619200001,25881231753.216003,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
11776,2048,4,179.440136192,27113671360.512,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
12288,2048,4,182.307336192,28346110967.808002,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
12800,2048,4,185.174536192,29578550575.104004,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
13312,2048,4,188.041736192,30810990182.4,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
13824,2048,4,190.908936192,32043429789.696003,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
14336,2048,4,193.776136192,33275869396.992004,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
14848,2048,4,196.643336192,34508309004.288,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
15360,2048,4,199.510536192,35740748611.58401,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
15872,2048,4,202.37773619200001,36973188218.88,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
16384,2048,4,205.244936192,38205627826.176,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
16896,2048,4,208.112136192,39438067433.472,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
17408,2048,4,210.979336192,40670507040.768005,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
17920,2048,4,213.846536192,41902946648.064,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
18432,2048,4,216.713736192,43135386255.36,34,"(32, 18)","[(32, 10), (32, 18), (32, 18), (32, 18)]"
